Growth,Tree,Time,Age
5.199491523,A6,54,1
2.365803992,A12,86,1
7.560481871,A11,117,1
4.411532439,A19,150,1
2.947550918,A7,228,1
3.193467005,A10,363,1
3.847593111,A20,474,1
3.24962439,A3,801,1
5.516104667,A18,839,1
2.124272547,A5,848,1
3.674129625,A1,978,1
4.921487151,A16,988,1
2.157564376,A14,1079,1
5.461429081,A17,1187,1
1.62700544,A4,1339,1
2.020658384,A9,1402,1
3.42094993,A8,1490,1
8.35106769,A15,1611,1
9.44353153,A2,1649,1
6.757517207,A13,1678,1
2.378102995,A6,55,2
1.531254819,A12,87,2
2.446828625,A11,118,2
4.052560895,A19,151,2
1.375153458,A7,229,2
2.697811786,A10,364,2
1.371263097,A20,475,2
1.175682925,A3,802,2
2.674517215,A18,840,2
1.047178223,A5,849,2
0.943387909,A1,979,2
1.39671346,A16,989,2
1.064770146,A14,1080,2
2.156783111,A17,1188,2
0.553685889,A4,1340,2
1.281823322,A9,1403,2
2.054667002,A8,1491,2
2.135881078,A15,1612,2
1.531103738,A2,1650,2
1.680555308,A13,1679,2
2.548950735,A6,56,3
1.736206708,A12,88,3
1.281460424,A11,119,3
2.617466258,A19,152,3
1.233713186,A7,230,3
2.183870852,A10,365,3
0.663393416,A20,476,3
0.894369852,A3,803,3
1.531829903,A18,841,3
1.115460937,A5,850,3
0.50868012,A1,980,3
1.112646343,A16,990,3
0.702133391,A14,1081,3
1.517002672,A17,1189,3
0.468838578,A4,1341,3
1.168124861,A9,1404,3
1.040008263,A8,1492,3
1.895985892,A15,1613,3
2.482479365,A2,1651,3
1.717103062,A13,1680,3
2.599031951,A6,57,4
1.794206851,A12,89,4
1.455249569,A11,120,4
2.426469599,A19,153,4
0.785440322,A7,231,4
0.679528298,A10,366,4
1.087698783,A20,477,4
0.458808159,A3,804,4
0.660099374,A18,842,4
0.537737717,A5,851,4
1.168766595,A1,981,4
1.33803606,A16,991,4
0.558834866,A14,1082,4
1.246967062,A17,1190,4
0.291069785,A4,1342,4
1.511122771,A9,1405,4
0.635189826,A8,1493,4
3.060330887,A15,1614,4
1.09165558,A2,1652,4
1.694770427,A13,1681,4
1.163662035,A6,58,5
1.335887387,A12,90,5
1.049621414,A11,121,5
2.278344417,A19,154,5
0.764126854,A7,232,5
0.699214353,A10,367,5
0.520546385,A20,478,5
0.562239185,A3,805,5
0.799063636,A18,843,5
0.559079626,A5,852,5
0.775775133,A1,982,5
0.792681398,A16,992,5
0.718923484,A14,1083,5
2.589327659,A17,1191,5
0.361322012,A4,1343,5
1.128893545,A9,1406,5
1.683653729,A8,1494,5
1.067073466,A15,1615,5
1.200515468,A2,1653,5
0.979346944,A13,1682,5
1.433208237,A6,59,6
1.130994473,A12,91,6
0.851466076,A11,122,6
1.375857552,A19,155,6
0.738814511,A7,233,6
0.59151828,A10,368,6
1.533168285,A20,479,6
0.392767793,A3,806,6
0.668228945,A18,844,6
0.586658995,A5,853,6
0.894774021,A1,983,6
0.577582913,A16,993,6
0.681986879,A14,1084,6
0.816064577,A17,1192,6
0.463561457,A4,1344,6
0.432119962,A9,1407,6
0.513573916,A8,1495,6
1.34502974,A15,1616,6
0.773432199,A2,1654,6
0.904164556,A13,1683,6
1.091379171,A6,60,7
0.799417723,A12,92,7
0.505777486,A11,123,7
0.537289807,A19,156,7
0.897520471,A7,234,7
1.211240099,A10,369,7
0.940278303,A20,480,7
0.496250728,A3,807,7
0.746290902,A18,845,7
0.496739951,A5,854,7
0.550072202,A1,984,7
1.030236165,A16,994,7
0.923018902,A14,1085,7
1.542185475,A17,1193,7
0.54589628,A4,1345,7
0.517832859,A9,1408,7
0.757780334,A8,1496,7
1.241917201,A15,1617,7
0.787261057,A2,1655,7
0.682549888,A13,1684,7
1.041829573,A6,61,8
1.107135733,A12,93,8
0.956636413,A11,124,8
1.545316237,A19,157,8
0.414558466,A7,235,8
0.842749574,A10,370,8
0.42283285,A20,481,8
0.701666354,A3,808,8
0.448151688,A18,846,8
0.340831908,A5,855,8
0.521972007,A1,985,8
0.662970549,A16,995,8
0.830000528,A14,1086,8
0.798452456,A17,1194,8
0.376936663,A4,1346,8
0.987829691,A9,1409,8
0.536576438,A8,1497,8
1.142280304,A15,1618,8
0.829290097,A2,1656,8
0.60120539,A13,1685,8
0.562173932,A6,62,9
0.797588405,A12,94,9
0.754769804,A11,125,9
1.085815251,A19,158,9
0.40333846,A7,236,9
0.718260787,A10,371,9
0.210319782,A20,482,9
0.690453843,A3,809,9
0.46194011,A18,847,9
0.423033663,A5,856,9
0.719986731,A1,986,9
0.602190851,A16,996,9
0.918928286,A14,1087,9
1.081581008,A17,1195,9
0.28401346,A4,1347,9
0.594584624,A9,1410,9
0.749678117,A8,1498,9
1.06392445,A15,1619,9
2.130047795,A2,1657,9
0.718667481,A13,1686,9
1.78501207,A6,63,10
0.527576538,A12,95,10
0.508785596,A11,126,10
0.903142702,A19,159,10
0.472802271,A7,237,10
0.601844149,A10,372,10
0.518111812,A20,483,10
0.371806865,A3,810,10
0.615836615,A18,848,10
0.575886671,A5,857,10
0.557640305,A1,987,10
0.507343712,A16,997,10
0.3815956,A14,1088,10
0.835466367,A17,1196,10
0.333812982,A4,1348,10
0.826161183,A9,1411,10
0.412943258,A8,1499,10
1.612613679,A15,1620,10
0.738580867,A2,1658,10
0.603675813,A13,1687,10
1.126716119,A6,64,11
0.694311079,A12,96,11
0.569377299,A11,127,11
1.539979875,A19,160,11
0.70004756,A7,238,11
0.762969341,A10,373,11
0.255191286,A20,484,11
0.323041395,A3,811,11
0.607084416,A18,849,11
0.507871434,A5,858,11
0.450167178,A1,988,11
0.672393583,A16,998,11
0.592587704,A14,1089,11
1.102407601,A17,1197,11
0.358803431,A4,1349,11
0.812989618,A9,1412,11
0.228674284,A8,1500,11
0.971074232,A15,1621,11
0.875219258,A2,1659,11
0.526880269,A13,1688,11
0.750102915,A6,65,12
0.808759666,A12,97,12
0.629284291,A11,128,12
1.072258179,A19,161,12
0.610000958,A7,239,12
0.320908205,A10,374,12
0.416685832,A20,485,12
0.482043812,A3,812,12
0.669570946,A18,850,12
0.536511204,A5,859,12
0.506278769,A1,989,12
0.751428996,A16,999,12
0.639645679,A14,1090,12
0.519201317,A17,1198,12
0.31648611,A4,1350,12
0.288058676,A9,1413,12
0.40747337,A8,1501,12
0.903887757,A15,1622,12
0.595535105,A2,1660,12
0.716993616,A13,1689,12
1.007170513,A6,66,13
0.690387103,A12,98,13
0.340624844,A11,129,13
1.045229121,A19,162,13
0.531125708,A7,240,13
0.480503351,A10,375,13
0.468386972,A20,486,13
0.339763167,A3,813,13
0.532223858,A18,851,13
0.469351917,A5,860,13
0.565673224,A1,990,13
0.675101864,A16,1000,13
0.682406216,A14,1091,13
0.713860486,A17,1199,13
0.353161532,A4,1351,13
0.458356456,A9,1414,13
0.408750116,A8,1502,13
0.65099879,A15,1623,13
0.9659918,A2,1661,13
0.861086916,A13,1690,13
1.013583798,A6,67,14
0.476172496,A12,99,14
0.789026616,A11,130,14
0.500367848,A19,163,14
0.520229192,A7,241,14
0.327086424,A10,376,14
0.57539044,A20,487,14
0.435048278,A3,814,14
0.925148801,A18,852,14
0.368667717,A5,861,14
0.240170736,A1,991,14
0.787605442,A16,1001,14
0.528169269,A14,1092,14
1.279865702,A17,1200,14
0.199013556,A4,1352,14
0.388781466,A9,1415,14
0.40408235,A8,1503,14
1.095166535,A15,1624,14
0.589251487,A2,1662,14
0.907286236,A13,1691,14
1.296438907,A6,68,15
0.836286428,A12,100,15
0.611720547,A11,131,15
1.007585648,A19,164,15
0.395112142,A7,242,15
0.326170985,A10,377,15
0.183583536,A20,488,15
0.4655639,A3,815,15
0.819905146,A18,853,15
0.559061706,A5,862,15
0.423632176,A1,992,15
0.587964478,A16,1002,15
0.286560399,A14,1093,15
0.65486778,A17,1201,15
0.231880415,A4,1353,15
0.306480747,A9,1416,15
0.603758235,A8,1504,15
0.614475361,A15,1625,15
1.056472169,A2,1663,15
0.484698819,A13,1692,15
1.601363693,A6,69,16
1.971201703,A12,101,16
0.634441646,A11,132,16
0.88517221,A19,165,16
0.596654287,A7,243,16
0.229087663,A10,378,16
0.243480927,A20,489,16
0.274460912,A3,816,16
0.837062715,A18,854,16
0.342089139,A5,863,16
0.56632498,A1,993,16
0.717153233,A16,1003,16
0.39790401,A14,1094,16
0.882765647,A17,1202,16
0.256238778,A4,1354,16
0.602453816,A9,1417,16
0.312123697,A8,1505,16
0.644846193,A15,1626,16
0.759949024,A2,1664,16
0.578131837,A13,1693,16
0.665178419,A6,70,17
1.102015537,A12,102,17
0.260507403,A11,133,17
1.192675074,A19,166,17
0.24999427,A7,244,17
0.596992699,A10,379,17
0.489999459,A20,490,17
0.332613895,A3,817,17
0.280549512,A18,855,17
0.341578251,A5,864,17
0.392811528,A1,994,17
0.969039169,A16,1004,17
0.305437835,A14,1095,17
0.52191735,A17,1203,17
0.271533512,A4,1355,17
0.382719268,A9,1418,17
0.426994756,A8,1506,17
0.590924165,A15,1627,17
0.621958655,A2,1665,17
0.548880675,A13,1694,17
0.525836506,A6,71,18
0.687680584,A12,103,18
0.582206376,A11,134,18
1.249851536,A19,167,18
0.49633267,A7,245,18
0.425984602,A10,380,18
0.252832274,A20,491,18
0.446138898,A3,818,18
0.827426123,A18,856,18
0.313043124,A5,865,18
0.459893707,A1,995,18
0.860249756,A16,1005,18
0.529396964,A14,1096,18
1.66659809,A17,1204,18
0.285642553,A4,1356,18
0.231903109,A9,1419,18
0.74017181,A8,1507,18
0.680266006,A15,1628,18
0.687181515,A2,1666,18
0.430879692,A13,1695,18
0.877979674,A6,72,19
1.140539698,A12,104,19
0.469522366,A11,135,19
1.258957032,A19,168,19
0.370611247,A7,246,19
0.454654207,A10,381,19
0.334606569,A20,492,19
0.311336229,A3,819,19
0.679535956,A18,857,19
0.305306628,A5,866,19
0.295495646,A1,996,19
0.622383923,A16,1006,19
0.85026199,A14,1097,19
0.486771598,A17,1205,19
0.208089588,A4,1357,19
0.42007002,A9,1420,19
0.31323794,A8,1508,19
0.404713934,A15,1629,19
